Index  ,Expanded ,Fringe ,Depth ,Path
s1:h1  ,      15 ,    29 ,    7 ,"['up', 'left', 'down', 'right', 'up', 'up', 'left']"
s1:h2  ,       9 ,    20 ,    7 ,"['up', 'left', 'down', 'right', 'up', 'up', 'left']"
s1:h3  ,       9 ,    20 ,    7 ,"['up', 'left', 'down', 'right', 'up', 'up', 'left']"
s1:h4  ,       9 ,    20 ,    7 ,"['up', 'left', 'down', 'right', 'up', 'up', 'left']"
s2:h1  ,     157 ,   268 ,   13 ,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s2:h2  ,      39 ,    68 ,   13 ,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s2:h3  ,      34 ,    58 ,   13 ,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s2:h4  ,      40 ,    71 ,   13 ,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']"
s3:h1  ,    1047 ,  1698 ,   17 ,"['down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left']"
s3:h2  ,     323 ,   522 ,   17 ,"['down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left']"
s3:h3  ,     308 ,   493 ,   17 ,"['down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left']"
s3:h4  ,     440 ,   728 ,   17 ,"['down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'left']"
s4:h1  ,      39 ,    69 ,    9 ,"['down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left']"
s4:h2  ,      17 ,    35 ,    9 ,"['down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left']"
s4:h3  ,      16 ,    32 ,    9 ,"['down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left']"
s4:h4  ,      19 ,    38 ,    9 ,"['down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left']"
s5:h1  ,       7 ,    15 ,    7 ,"['left', 'up', 'right', 'right', 'up', 'left', 'left']"
s5:h2  ,       7 ,    15 ,    7 ,"['left', 'up', 'right', 'right', 'up', 'left', 'left']"
s5:h3  ,       7 ,    15 ,    7 ,"['left', 'up', 'right', 'right', 'up', 'left', 'left']"
s5:h4  ,       7 ,    15 ,    7 ,"['left', 'up', 'right', 'right', 'up', 'left', 'left']"
s6:h1  ,      12 ,    25 ,    7 ,"['down', 'left', 'up', 'right', 'up', 'left', 'left']"
s6:h2  ,      10 ,    19 ,    7 ,"['down', 'left', 'up', 'right', 'up', 'left', 'left']"
s6:h3  ,      10 ,    19 ,    7 ,"['down', 'left', 'up', 'right', 'up', 'left', 'left']"
s6:h4  ,      10 ,    19 ,    7 ,"['down', 'left', 'up', 'right', 'up', 'left', 'left']"
s7:h1  ,       3 ,     9 ,    3 ,"['down', 'left', 'up']"
s7:h2  ,       3 ,     9 ,    3 ,"['down', 'left', 'up']"
s7:h3  ,       3 ,     9 ,    3 ,"['down', 'left', 'up']"
s7:h4  ,       3 ,     9 ,    3 ,"['down', 'left', 'up']"
s8:h1  ,       7 ,    16 ,    5 ,"['down', 'right', 'up', 'left', 'up']"
s8:h2  ,       6 ,    13 ,    5 ,"['down', 'right', 'up', 'left', 'up']"
s8:h3  ,       6 ,    13 ,    5 ,"['down', 'right', 'up', 'left', 'up']"
s8:h4  ,       6 ,    13 ,    5 ,"['down', 'right', 'up', 'left', 'up']"
s9:h1  ,       7 ,    13 ,    7 ,"['down', 'right', 'right', 'up', 'up', 'left', 'left']"
s9:h2  ,       7 ,    13 ,    7 ,"['down', 'right', 'right', 'up', 'up', 'left', 'left']"
s9:h3  ,       7 ,    13 ,    7 ,"['down', 'right', 'right', 'up', 'up', 'left', 'left']"
s9:h4  ,       7 ,    13 ,    7 ,"['down', 'right', 'right', 'up', 'up', 'left', 'left']"
s10:h1 ,     149 ,   252 ,   13 ,"['right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']"
s10:h2 ,      30 ,    55 ,   13 ,"['right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']"
s10:h3 ,      30 ,    55 ,   13 ,"['right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']"
s10:h4 ,      49 ,    89 ,   13 ,"['right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']"
s11:h1 ,      72 ,   125 ,   11 ,"['down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']"
s11:h2 ,      39 ,    72 ,   11 ,"['down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']"
s11:h3 ,      39 ,    72 ,   11 ,"['down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']"
s11:h4 ,      40 ,    74 ,   11 ,"['down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']"
s12:h1 ,      62 ,   114 ,   11 ,"['left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'up']"
s12:h2 ,      33 ,    62 ,   11 ,"['left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'up']"
s12:h3 ,      33 ,    62 ,   11 ,"['left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'up']"
s12:h4 ,      35 ,    67 ,   11 ,"['left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'up']"
s13:h1 ,      12 ,    25 ,    7 ,"['right', 'right', 'down', 'left', 'up', 'left', 'up']"
s13:h2 ,      10 ,    21 ,    7 ,"['right', 'right', 'down', 'left', 'up', 'left', 'up']"
s13:h3 ,      10 ,    21 ,    7 ,"['right', 'right', 'down', 'left', 'up', 'left', 'up']"
s13:h4 ,      10 ,    21 ,    7 ,"['right', 'right', 'down', 'left', 'up', 'left', 'up']"
s14:h1 ,       7 ,    15 ,    7 ,"['right', 'down', 'left', 'down', 'left', 'up', 'up']"
